"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alabama","4799277","4817678","4830620","4841164","4850771","4864680","4876250","4893186","4997675","5028092"
"Alaska","720316","728300","733375","736855","738565","738516","737068","736990","735951","734821"
"Arizona","6479703","6561516","6641928","6728577","6809946","6946685","7050299","7174064","7079203","7172282"
"Arkansas","2933369","2947036","2958208","2968472","2977944","2990671","2999370","3011873","3006309","3018669"
"California","37659181","38066920","38421464","38654206","38982847","39148760","39283497","39346023","39455353","39356104"
"Colorado","5119329","5197580","5278906","5359295","5436519","5531141","5610349","5684926","5723176","5770790"
"Connecticut","3583561","3592053","3593222","3588570","3594478","3581504","3575074","3570549","3605330","3611317"
"Delaware","908446","917060","926454","934695","943732","949495","957248","967679","981892","993635"
"District of Columbia","619371","633736","647484","659009","672391","684498","692683","701974","683154","670587"
"Florida","19091156","19361792","19645772","19934451","20278447","20598139","20901636","21216924","21339762","21634529"
"Georgia","9810417","9907756","10006693","10099320","10201635","10297484","10403847","10516579","10625615","10722325"
"Hawaii","1376298","1392704","1406299","1413673","1421658","1422029","1422094","1420074","1453498","1450589"
"Idaho","1583364","1599464","1616547","1635483","1657375","1687809","1717750","1754367","1811617","1854109"
"Illinois","12848554","12868747","12873761","12851684","12854526","12821497","12770631","12716164","12821813","12757634"
"Indiana","6514861","6542411","6568645","6589578","6614418","6637426","6665703","6696893","6751340","6784403"
"Iowa","3062553","3078116","3093526","3106589","3118102","3132499","3139508","3150011","3179090","3188836"
"Kansas","2868107","2882946","2892987","2898292","2903820","2908776","2910652","2912619","2932099","2935922"
"Kentucky","4361333","4383272","4397353","4411989","4424376","4440204","4449052","4461952","4494141","4502935"
"Louisiana","4567968","4601049","4625253","4645670","4663461","4663616","4664362","4664616","4657305","4640546"
"Maine","1328320","1328535","1329100","1329923","1330158","1332813","1335492","1340825","1357046","1366949"
"Maryland","5834299","5887776","5930538","5959902","5996079","6003435","6018848","6037624","6148545","6161707"
"Massachusetts","6605058","6657291","6705586","6742143","6789319","6830193","6850553","6873003","6991852","6984205"
"Michigan","9886095","9889024","9900571","9909600","9925568","9957488","9965265","9973907","10062512","10057921"
"Minnesota","5347740","5383661","5419171","5450868","5490726","5527358","5563378","5600166","5670472","5695292"
"Mississippi","2976872","2984345","2988081","2989192","2986220","2988762","2984418","2981835","2967023","2958846"
"Missouri","6007182","6028076","6045448","6059651","6075300","6090062","6104910","6124160","6141534","6154422"
"Montana","998554","1006370","1014699","1023391","1029862","1041732","1050649","1061705","1077978","1091840"
"Nebraska","1841625","1855617","1869365","1881259","1893921","1904760","1914571","1923826","1951480","1958939"
"Nevada","2730066","2761584","2798636","2839172","2887725","2922849","2972382","3030281","3059238","3104817"
"New Hampshire","1319171","1321069","1324201","1327503","1331848","1343622","1348124","1355244","1372175","1379610"
"New Jersey","8832406","8874374","8904413","8915456","8960161","8881845","8878503","8885418","9234024","9249063"
"New Mexico","2069706","2080085","2084117","2082669","2084828","2092434","2092454","2097021","2109366","2112463"
"New York","19487053","19594330","19673174","19697457","19798228","19618453","19572319","19514849","20114745","19994379"
"North Carolina","9651380","9750405","9845333","9940828","10052564","10155624","10264876","10386227","10367022","10470214"
"North Dakota","689781","704925","721640","736162","745475","752201","756717","760394","773344","776874"
"Ohio","11549590","11560380","11575977","11586941","11609756","11641879","11655397","11675275","11769923","11774683"
"Oklahoma","3785742","3818851","3849733","3875589","3896251","3918137","3932870","3949342","3948136","3970497"
"Oregon","3868721","3900343","3939233","3982267","4025127","4081943","4129803","4176346","4207177","4229374"
"Pennsylvania","12731381","12758729","12779559","12783977","12790505","12791181","12791530","12794885","12970650","12989208"
"Puerto Rico","3682966","3638965","3583073","3529385","3468963","3386941","3318447","3255642","3311274","3272382"
"Rhode Island","1051695","1053252","1053661","1054491","1056138","1056611","1057231","1057798","1091949","1094250"
"South Carolina","4679602","4727273","4777576","4834605","4893444","4955925","5020806","5091517","5078903","5142750"
"South Dakota","825198","834708","843190","851058","855444","864289","870638","879336","881785","890342"
"Tennessee","6402387","6451365","6499615","6548009","6597381","6651089","6709356","6772268","6859497","6923772"
"Texas","25639373","26092033","26538614","26956435","27419612","27885195","28260856","28635442","28862581","29243342"
"Utah","2813673","2858111","2903379","2948427","2993941","3045350","3096848","3151239","3231370","3283809"
"Vermont","625904","626358","626604","626249","624636","624977","624313","624340","641637","643816"
"Virginia","8100653","8185131","8256630","8310301","8365952","8413774","8454463","8509358","8582479","8624511"
"Washington","6819579","6899123","6985464","7073146","7169967","7294336","7404107","7512465","7617364","7688549"
"West Virginia","1853619","1853881","1851420","1846092","1836843","1829054","1817305","1807426","1801049","1792967"
"Wisconsin","5706871","5724692","5742117","5754798","5763217","5778394","5790716","5806975","5871661","5882128"
"Wyoming","570134","575251","579679","583029","583200","581836","581024","581348","576641","577929"
